jd_tdb,calendar,x_jpl_km,y_jpl_km,z_jpl_km,vx_jpl_kms,vy_jpl_kms,vz_jpl_kms,x_num_km,y_num_km,z_num_km,vx_num_kms,vy_num_kms,vz_num_kms,err_r_abs_km,err_r_rel,err_v_abs_kms,err_v_rel,err_rho_abs_km,err_rho_rel
2461051.5,A.D. 2026-Jan-11 00:00:00.0000,-51280636.143611565,137897937.27761713,-7963.103052876891,-28.4046071876595,-10.494859947415042,0.0007773901953984641,-51280621.05548988,137897890.79371238,-7963.709642888408,-28.404566649926075,-10.49496757729163,0.0007759121255311211,48.87507307486778,3.3220270089430053e-07,0.00011502035844240382,3.7983818521987035e-06,48.827832609415054,3.3188160858225716e-07
2461052.5,A.D. 2026-Jan-12 00:00:00.0000,-53726691.181562096,136969780.83386162,-7894.693827867509,-28.21557319230359,-10.989676055031588,0.0008061163229262647,-53726672.63269752,136969724.47966135,-7895.435663676389,-28.215528537388263,-10.989794947427006,0.000804462376177859,59.33301429910601,4.0326892954871807e-07,0.0001270125926479752,4.194573374213799e-06,59.235896080732346,4.026088457753606e-07
2461053.5,A.D. 2026-Jan-13 00:00:00.0000,-56156035.14164768,135999021.5179482,-7823.813254997134,-28.017787578221796,-11.48101086504694,0.0008345958176283474,-56156012.774765424,135998954.31362247,-7824.705842583742,-28.017738807396146,-11.481141081060159,0.0008327587761465938,70.83428218086243,4.814178931487718e-07,0.00013906177855356916,4.592700247371961e-06,70.65364927053452,4.801902402038128e-07
2461054.5,A.D. 2026-Jan-14 00:00:00.0000,-58567914.75292074,134985967.00976726,-7750.483037866653,-27.811317269233168,-11.968704978702752,0.0008628194931157296,-58567888.21054206,134985887.9708584,-7751.54250898521,-27.811264377577153,-11.968846565467343,0.0008607921593682134,83.38326846671734,5.6667728262085e-07,0.00015115703511808096,4.992409317307122e-06,83.07271435856819,5.645667398063411e-07
2461055.5,A.D. 2026-Jan-15 00:00:00.0000,-60961582.65938695,133930938.70184219,-7674.725687719882,-27.596232256382113,-12.452600383240217,0.0008907778422679871,-60961551.58311536,133930846.84036651,-7675.968779953227,-27.59617522868852,-12.452753376635476,0.0008885534587881991,96.98355864486523,6.590690919879857e-07,0.00016329141040298103,5.393477153926805e-06,96.48193734884262,6.556602348918869e-07
2461056.5,A.D. 2026-Jan-16 00:00:00.0000,-63336297.68359822,132834271.5768496,-7596.564549639822,-27.37260556484937,-12.932540515058331,0.000918461084880029,-63336261.71307388,132834165.902108,-7598.00855154397,-27.372544372105335,-12.932704943633302,0.0009160337100390448,111.63832126216357,7.586122660728803e-07,0.0001754628175371153,5.795840985204773e-06,110.86789005994797,7.533769798955332e-07
2461057.5,A.D. 2026-Jan-17 00:00:00.0000,-65691325.08730331,131696314.07969296,-7516.0238218307495,-27.140513218955224,-13.408370322535228,0.0009458592720132941,-65691283.85889223,131696193.59871234,-7517.686489768753,-27.140447815770017,-13.408546212091533,0.0009432240550513852,127.35074807723647,8.653256931969123e-07,0.00018767433767228768,6.199608742189293e-06,126.21543574333191,8.576114477200412e-07
2461058.5,A.D. 2026-Jan-18 00:00:00.0000,-68025936.82899639,130517427.98417073,-7433.128564380109,-26.90003420534515,-13.879936328485408,0.0009729624313532526,-68025889.97430903,130517291.70173734,-7435.028021256158,-26.899964528632143,-13.880123706749034,0.0009701157456014286,144.12449935790931,9.792312319743128e-07,0.0001999338931609197,6.605048314946681e-06,142.50829538702965,9.682501884142163e-07
2461059.5,A.D. 2026-Jan-19 00:00:00.0000,-70339411.81820938,129297988.25425136,-7347.904693610967,-26.6512504344794,-14.347086692423842,0.0009997607437783886,-70339358.96256843,129297835.17256746,-7350.059323610471,-26.6511764036087,-14.347285593023399,0.0009967001467923642,161.96407983655828,1.1003562658171377e-06,0.0002122531167604037,7.0125502542949705e-06,159.7295257151127,1.0851750871797422e-06
2461060.5,A.D. 2026-Jan-20 00:00:00.0000,-72631036.16641133,128038382.89998572,-7260.378961160781,-26.394246700621988,-14.809671272469455,0.0010262447217952442,-72630976.92739859,128038212.01803546,-7262.807315472308,-26.394168219096553,-14.809881737565188,0.0010229687404674755,180.8750907633375,1.2287354144579517e-06,0.00022464558399925817,7.422569425602178e-06,177.86184173822403,1.2082655654913946e-06
2461061.5,A.D. 2026-Jan-21 00:00:00.0000,-74900103.43439417,126739012.82809007,-7170.57891842723,-26.12911064057162,-15.267541686770478,0.0010524053604621386,-74900037.42060336,126738823.14085786,-7173.299646287341,-26.129027599069673,-15.267763767756481,0.0010489131285527854,200.86430494238394,1.3644110419377664e-06,0.00023712454759795745,7.835550187731083e-06,196.88772505521774,1.3373993261988575e-06
2461062.5,A.D. 2026-Jan-22 00:00:00.0000,-77145914.87604856,125400291.68725169,-7078.532870419324,-25.855932691407247,-15.720551374172539,0.0010782342290616143,-77145841.68614666,125400082.18497662,-7081.564685789349,-25.85584497179548,-15.72078513011539,0.0010745250363271264,221.9395343382665,1.5074323550839942e-06,0.0002497004790091561,8.251845162127045e-06,216.78928962349892,1.4724514511959645e-06
2461063.5,A.D. 2026-Jan-23 00:00:00.0000,-79367779.67845514,124022645.70823912,-6984.269825063647,-25.57480604748683,-16.168555653756332,0.0011037234822524056,-79367698.90061134,124022415.37590328,-6987.631513203954,-25.57471352720542,-16.16880114756973,0.0010997963156176129,244.10929095855354,1.6578530981692884e-06,0.0002623788054071606,8.671640414410339e-06,237.54791912436485,1.61329194860863e-06
2461064.5,A.D. 2026-Jan-24 00:00:00.0000,-81565015.19823472,122606513.53893222,-6887.819445334376,-25.28582661687753,-16.611411782822188,0.0011288657797754453,-81564926.40991819,122606261.35616486,-6891.529906179537,-25.285729172956273,-16.611669075564077,0.0011247189479185844,267.3822747051448,1.81572807363658e-06,0.0002751582617927659,9.094900916041026e-06,259.1437277495861,1.7597821026118472e-06
2461065.5,A.D. 2026-Jan-25 00:00:00.0000,-83736947.19411261,121152346.07442403,-6789.21201233566,-24.98909297727805,-17.048979012922796,0.0011536541221568442,-83736849.96219334,121152071.01595339,-6793.290329452076,-24.988990489219564,-17.049248156965998,0.0011492850474321638,291.76675798504664,1.9811089638783986e-06,0.00028803021879224137,9.521348212946371e-06,281.5549401640892,1.9117702771743127e-06
2461066.5,A.D. 2026-Jan-26 00:00:00.0000,-85882910.05564971,119660606.28237702,-6688.478404968977,-24.684706331350004,-17.481118643644173,0.0011780816293605056,-85882803.93667589,119660307.31908531,-6692.943923250716,-24.68459868223772,-17.481399675738526,0.0011734868640286705,317.26995956962946,2.1540400829002804e-06,0.00030097920409965026,9.950477525862934e-06,304.7573072910309,2.069087966450126e-06
2461067.5,A.D. 2026-Jan-27 00:00:00.0000,-88002247.02808145,118131769.02383563,-6585.650100007653,-24.372770461228857,-17.90769407400024,0.0012021413051606091,-88002131.56856105,118131445.12437715,-6590.522491451082,-24.372657536686386,-17.90798700934738,0.0011973167861252195,343.8975141735802,2.3345547811252404e-06,0.0003139846268215294,1.0381614617955796e-05,328.72368335723877,2.23154694355653e-06
